trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
63,5179,5189,2022-01-18T23:35:00,2022-01-19T00:25:00,long,bull_flag,0.011738,-0.840176,4.000632,-0.3524369999999999,-265.40005099999996,0.9734599949,1.0396419892,-0.06618199429999994,-0.06365844683796074
64,5203,5213,2022-01-19T01:35:00,2022-01-19T02:25:00,short,bear_flag,0.000518,-3.936749,3.999987,-0.35191899999999987,-269.3368,0.97306632,1.0396419892,-0.06657566919999991,-0.06403711074735408
65,5296,5306,2022-01-19T09:20:00,2022-01-19T10:10:00,short,bear_flag,0.126726,20.072319,3.995186,-0.22519299999999987,-249.264481,0.9750735519,1.0396419892,-0.06456843729999995,-0.06210641544950013
66,5351,5361,2022-01-19T13:55:00,2022-01-19T14:45:00,long,bull_flag,0.200467,44.675443,4.009737,-0.02472599999999986,-204.589038,0.9795410962,1.0396419892,-0.06010089299999999,-0.05780922050507731
67,5574,5584,2022-01-20T08:30:00,2022-01-20T09:20:00,long,bull_flag,-0.079022,-12.470904,3.998305,-0.10374799999999985,-217.05994199999998,0.9782940058,1.0396419892,-0.06134798339999992,-0.05900875882014622
68,5674,5684,2022-01-20T16:50:00,2022-01-20T17:40:00,long,bull_flag,-0.066168,-32.702245,3.994258,-0.16991599999999984,-249.76218699999998,0.9750237813,1.0396419892,-0.06461820789999995,-0.062154288275450886
69,5709,5719,2022-01-20T19:45:00,2022-01-20T20:35:00,short,bear_flag,0.413019,72.188774,3.984765,0.24310300000000018,-177.573413,0.9822426587,1.0396419892,-0.0573993304999999,-0.05521066972695898
70,5770,5780,2022-01-21T00:50:00,2022-01-21T01:40:00,short,bear_flag,0.293515,232.866678,3.952636,0.5366180000000003,55.29326500000002,1.0055293265,1.0396419892,-0.03411266269999991,-0.0328119324290177
71,5814,5826,2022-01-21T04:30:00,2022-01-21T05:30:00,short,bear_flag,-0.029722,-24.540579,4.004107,0.5068960000000002,30.75268600000002,1.0030752686,1.0396419892,-0.03656672059999999,-0.03517241606231958
72,5921,5931,2022-01-21T13:25:00,2022-01-21T14:15:00,short,bear_flag,0.053636,23.135651,3.994574,0.5605320000000003,53.88833700000002,1.0053888337,1.0396419892,-0.034253155499999854,-0.032947068179073336
73,5944,5954,2022-01-21T15:20:00,2022-01-21T16:10:00,long,bull_flag,0.344446,111.611091,4.023127,0.9049780000000003,165.49942800000002,1.0165499428,1.0396419892,-0.023092046399999955,-0.022211536894319872
74,6049,6061,2022-01-22T00:05:00,2022-01-22T01:05:00,short,bear_pennant,-0.154314,-151.010572,4.029396,0.7506640000000002,14.488856000000027,1.0014488856,1.0396419892,-0.038193103600000056,-0.03673678438997008
