family,direction,pattern_kind,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,conf_time,exit_time,base_price,tip_price,conf_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,flag_width,flag_height_log,flag_height_ratio,pole_width,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,hold_bars,forward_log_return,flag_quality_score,target_price,target_hit,max_favorable_log_return,future_return_r
bull_flag,long,flag,174,197,207,206,217,202,198,203,2022-01-01T14:30:00,2022-01-01T16:25:00,2022-01-01T17:15:00,2022-01-01T18:05:00,3695.0000000000027,3743.0200000000023,3729.240000000001,3756.01,3738.233749226909,3717.7942665768937,3744.20583107009,3726.2862308356034,3726.46,3717.7942665768937,10,0.004434050866166217,0.3433996335542028,23,0.012912217815358673,8.22636851929391,-0.0005482686976853367,8.227964812333697,-0.0004797444252663129,10,0.007152764205304862,2.6672354113776153,3777.704981001354,false,0.00789795840278984,0.5539531866320344
bear_flag,short,flag,288,317,327,326,337,326,319,325,2022-01-02T00:00:00,2022-01-02T02:25:00,2022-01-02T03:15:00,2022-01-02T04:05:00,3766.970000000003,3741.999999999999,3744.64,3757.49,3742.0368992229546,3745.4849477794305,3750.0957125937002,3751.2172837760513,3751.03,3751.2172837760513,10,0.002410241083104836,0.3624021080262969,29,0.006650736929294965,8.227385367614641,0.00009210120172392053,8.229536641997061,0.000029903330023680992,10,-0.003425697119793014,2.815619508583163,3719.8180181949906,false,0.0,-0.5150853441072984
bear_flag,short,flag,330,374,384,383,394,382,378,378,2022-01-02T03:30:00,2022-01-02T07:10:00,2022-01-02T08:00:00,2022-01-02T08:50:00,3758.530000000002,3735.119999999997,3737.990000000001,3743.56,3735.156552905103,3740.0865121259967,3744.915828784615,3747.376741798291,3745.9,3747.376741798291,10,0.0028819619413642528,0.46126321757477373,44,0.006247976928481336,8.225545011790272,0.00013190099352648258,8.228154420073803,0.00006569185810598056,10,-0.0014889965392477222,3.0607757331154124,3714.707933367563,false,0.0011322649852889555,-0.23831658731967262
bull_flag,long,flag,435,490,500,499,510,495,499,495,2022-01-02T12:15:00,2022-01-02T16:50:00,2022-01-02T17:40:00,2022-01-02T18:30:00,3733.1999999999994,3848.339999999999,3829.6499999999983,3778.11,3829.9778908346534,3797.53112236122,3848.303433515123,3825.850627008318,3813.72,3797.53112236122,10,0.00903679574406624,0.2974967899050036,55,0.030376111779061077,8.250614309530002,-0.0008507879606832285,8.255387663540313,-0.0005851555857844064,10,-0.013549530614975325,4.216828484742949,3947.764727579554,false,0.0,-0.44605875543015727
bear_flag,short,flag,490,510,520,519,530,510,513,517,2022-01-02T16:50:00,2022-01-02T18:30:00,2022-01-02T19:20:00,2022-01-02T20:10:00,3848.339999999999,3778.109999999998,3794.2999999999984,3808.98,3778.109999999998,3799.3022263674857,3794.78992274216,3807.7723619459534,3803.91,3807.7723619459534,10,0.0068056005074517145,0.3695080793715896,20,0.01841800189870213,8.23697916357195,0.0005593540641323753,8.241384331971336,0.0003415283252342015,10,-0.0038614961546343807,2.423780462447264,3725.0561990364654,false,0.0022083771604961555,-0.2096587988139197
bear_flag,short,flag,573,602,614,613,626,609,608,608,2022-01-02T23:45:00,2022-01-03T02:10:00,2022-01-03T03:10:00,2022-01-03T04:10:00,3833.71,3787.9999999999973,3794.8600000000006,3790.62,3788.0372118268324,3795.570824321909,3795.0910580260006,3807.899731295715,3801.49,3807.899731295715,12,0.003554919818487434,0.2963710684736169,29,0.011994827419545828,8.239603277865646,0.0001655679578324484,8.241463683751624,0.00028078172880515503,12,0.0011179254158157903,2.9911557744940467,3749.6132153970934,false,0.004164279613478428,0.09320062529570929
bear_flag,short,flag,573,621,633,632,645,621,625,632,2022-01-02T23:45:00,2022-01-03T03:45:00,2022-01-03T04:45:00,2022-01-03T05:45:00,3833.71,3779.090000000001,3793.5599999999968,3809.17,3779.090000000001,3792.9099607226303,3791.9700555101413,3796.5317169529617,3795.27,3796.5317169529617,12,0.004272314653826825,0.29772719611153825,48,0.014349762835324853,8.237238518890189,0.00030419035348959824,8.240640966590078,0.00010018802413308053,12,-0.0041064254381257825,3.6152676941720188,3739.512028922373,false,0.0009573429324074567,-0.28616678096009945
bull_flag,long,flag,687,712,722,721,732,715,721,720,2022-01-03T09:15:00,2022-01-03T11:20:00,2022-01-03T12:10:00,2022-01-03T13:00:00,3792.3800000000024,3838.379999999999,3833.570000000002,3821.4,3832.1969942363758,3824.5124129605615,3838.373504211105,3831.57021395691,3826.01,3824.5124129605615,10,0.003227917874930597,0.2677300895063175,25,0.012056612242885123,8.251193545451148,-0.00020072810517791757,8.252803989240405,-0.00017740135490986443,10,-0.0031796363025105023,3.241063009041582,3880.069617654348,false,0.00043813781699775234,-0.26372551745511075
bear_flag,short,flag,751,778,788,787,798,782,786,786,2022-01-03T14:35:00,2022-01-03T16:50:00,2022-01-03T17:40:00,2022-01-03T18:30:00,3838.549999999998,3743.1699999999973,3764.3800000000006,3759.71,3735.5086596826486,3763.7759237971113,3749.5985031868913,3775.3930703836336,3770.22,3775.3930703836336,10,0.007200509190241178,0.2861677733298913,27,0.025161845117830595,8.22563927562563,0.0007538691904045242,8.229404047415674,0.0006855733451797024,10,0.001241346288969325,3.1766721480141165,3670.8429705487747,false,0.0027532434485610935,0.04933446983542801
bull_flag,long,flag,821,847,857,856,867,852,847,852,2022-01-03T20:25:00,2022-01-03T22:35:00,2022-01-03T23:25:00,2022-01-04T00:15:00,3683.359999999999,3768.339999999999,3763.639999999999,3753.01,3749.673501989721,3742.7896603405393,3768.339999999999,3759.296052549849,3746.23,3742.7896603405393,10,0.005884585226482386,0.25799166102314747,26,0.022809207100513262,8.229424049037906,-0.00018375381865768614,8.2343898651711,-0.0002402866381552647,10,-0.00282838953163278,3.365656564326577,3850.4721660657647,false,0.002141905309049008,-0.12400209788831873
