preset,family,pattern_kind,side,base_idx,tip_idx,conf_idx,flag_end_idx,exit_idx,support_pivot_idx,resist_pivot_idx,flag_extreme_idx,base_time,tip_time,entry_time,exit_time,base_price,tip_price,entry_price,exit_price,support_tip_price,support_conf_price,resist_tip_price,resist_conf_price,flag_extreme_price,structure_stop_price,target_price,target_hit,flag_width,pole_width,hold_bars,holding_bars,flag_height_log,flag_height_ratio,pole_height_log,support_intercept_log,support_slope,resist_intercept_log,resist_slope,flag_quality_score,gross_log_return,gross_return_pct,gross_r,structure_r,net_pnl,net_return_pct,fees,exit_reason
baseline,bear_flag,flag,short,573,609,619,618,629,609,614,614,2018-01-31T23:00:00,2018-02-02T11:00:00,2018-02-02T21:00:00,2018-02-03T07:00:00,10284.453988,8299.042404,8619.850801,8708.848797,8299.042404,8713.077196,8925.93053,9442.533163,9180.598839,9442.533163,6955.790497,false,10,36,10,10,0.100952,0.470655,0.214493,9.023895,0.004868,9.096716,0.005626,2.71482,-0.010272,-1.032477,-0.047889,-0.10818,-107.268372,-1.072684,4.02065,固定持有期
baseline,bear_flag,flag,short,640,701,711,710,721,710,703,709,2018-02-03T18:00:00,2018-02-06T07:00:00,2018-02-06T17:00:00,2018-02-07T03:00:00,9398.658474,6042.210441,7006.629426,7199.917033,6035.160489,7242.383625,6428.108482,7725.447931,7291.801803,7725.447931,4504.422582,false,10,61,10,10,0.187981,0.425491,0.441797,8.705358,0.018235,8.768436,0.018384,3.850135,-0.027213,-2.758639,-0.061596,-0.268896,-279.919066,-2.799191,4.055173,固定持有期
baseline,bull_flag,flag,long,701,735,746,745,757,741,744,741,2018-02-06T07:00:00,2018-02-07T17:00:00,2018-02-08T04:00:00,2018-02-08T15:00:00,6042.210441,8283.57767,8150.0,8170.000002,8011.515676,7270.893313,8283.563635,8001.426954,7598.648753,7270.893313,11173.254998,false,11,34,11,11,0.086305,0.273544,0.315505,8.988635,-0.008818,9.022029,-0.00315,3.429795,0.002451,0.245399,0.007768,0.02275,20.534972,0.20535,4.004908,固定持有期
baseline,bear_flag,flag,short,796,821,831,830,841,830,823,829,2018-02-10T06:00:00,2018-02-11T07:00:00,2018-02-11T17:00:00,2018-02-12T03:00:00,9034.660299,7850.564949,8202.440063,8480.122756,7832.202182,8364.614799,8004.580544,8626.068343,8449.333577,8626.068343,7127.416674,false,10,25,10,10,0.073502,0.52321,0.140483,8.965999,0.006577,8.987769,0.007477,2.146766,-0.033293,-3.385367,-0.236992,-0.655487,-342.604399,-3.426044,4.067707,固定持有期
baseline,bull_flag,flag,long,837,862,873,872,884,866,868,871,2018-02-11T23:00:00,2018-02-13T00:00:00,2018-02-13T11:00:00,2018-02-13T22:00:00,8063.632299,8915.818273,8531.30676,8579.874364,8746.382537,8362.484099,8915.757055,8552.984394,8430.936677,8362.484099,9432.917806,false,11,25,11,11,0.055919,0.556615,0.100463,9.076395,-0.00408,9.095575,-0.003776,1.987036,0.005677,0.569287,0.056506,0.287684,52.917296,0.529173,4.011386,固定持有期
baseline,bull_flag,flag,long,871,935,945,944,955,941,935,941,2018-02-13T09:00:00,2018-02-16T01:00:00,2018-02-16T11:00:00,2018-02-16T21:00:00,8430.936677,10304.820719,9799.318836,10055.1328,10189.717885,9369.188565,10304.820719,9737.598565,9689.158311,9369.188565,11977.343401,false,10,64,10,10,0.061604,0.306941,0.200704,9.229134,-0.008395,9.240367,-0.005662,4.514773,0.02577,2.610528,0.1284,0.594736,257.000592,2.570006,4.052211,固定持有期
baseline,bull_flag,flag,long,941,983,993,992,1003,987,992,991,2018-02-16T07:00:00,2018-02-18T01:00:00,2018-02-18T11:00:00,2018-02-18T21:00:00,9689.158311,11190.089124,10550.0,10740.428834,10638.753726,9879.717151,11189.984406,10392.528949,10100.798251,9879.717151,12184.282316,false,10,42,10,10,0.102414,0.711105,0.144021,9.272259,-0.007402,9.322774,-0.007393,2.523757,0.017889,1.805013,0.124212,0.284102,176.465164,1.764652,4.0361,固定持有期
baseline,bull_flag,flag,long,1005,1050,1060,1059,1070,1054,1051,1058,2018-02-18T23:00:00,2018-02-20T20:00:00,2018-02-21T06:00:00,2018-02-21T16:00:00,10383.463316,11723.942806,11073.093838,10427.279712,11495.322913,10512.834173,11833.708449,10701.710262,10746.109212,10512.834173,12502.602926,false,10,45,10,10,0.087089,0.717265,0.121419,9.349696,-0.008934,9.378707,-0.010055,2.636511,-0.060093,-5.832283,-0.494922,-1.152705,-587.111615,-5.871116,3.883354,固定持有期
baseline,bear_flag,flag,short,1050,1075,1085,1084,1095,1075,1080,1084,2018-02-20T20:00:00,2018-02-21T21:00:00,2018-02-22T07:00:00,2018-02-22T17:00:00,11723.942806,10257.582083,10600.0,9839.760588,10257.582083,10888.590974,10407.271817,11062.589233,10860.219373,11062.589233,9274.215328,false,10,25,10,10,0.057089,0.427264,0.133616,9.235772,0.00597,9.25026,0.006106,2.404282,0.074423,7.17207,0.556989,1.643444,713.350433,7.133504,3.856559,固定持有期
baseline,bull_flag,flag,long,1200,1227,1237,1236,1247,1230,1236,1234,2018-02-27T02:00:00,2018-02-28T05:00:00,2018-02-28T15:00:00,2018-03-01T01:00:00,10149.901865,10947.704211,10507.354528,10417.851345,10619.221148,10308.027797,10947.625248,10482.47752,10400.321066,10308.027797,11333.253359,false,10,27,10,10,0.051293,0.677891,0.075666,9.270421,-0.002974,9.300878,-0.004342,1.965098,-0.008555,-0.851815,-0.113058,-0.449027,-89.164426,-0.891644,3.982964,固定持有期
